symbol,name,totalVolume
mullet-punks,Mullet Punks,286839605
mineral,Mineral,285740700
rebirth,Unordinals: Rebirth,285126410
block9bonsai,Block 9 Bonsai by FezUnit,284918900
claimed-zbit-loot-box,Claimed ZBIT Loot Box,283110229
girl,DUMMY GIRL,282350000
oxt,Ordinal X Tribes,282111921
memflux,MemFlux by Pawel Dudko,281714310
counterfeit-cards,counterfeit cards,281304139
runesambbi,Runes AMBBi,276813851
maneki_on_fractal,Maneki Neko,276769653
okay_bears,BTC Okay Bears,275194433
skullx-cyber-raiders,Skullx: Cyber Raiders,274940320
runecaseydance,RUNE CASEY DANCE,274130747
bitcat,Bitcat,273431408
room44,Room 44,273412000
ordinal-rabbits,Ordinal Rabbits,270649898
satoshi-monkey-business,Satoshi Monkey Business,270378000
satoshibles-the-ordinals,Satoshibles: The Ordinals,270314000
bitcoin-puppets-honoraries,Bitcoin Puppets Honoraries,268420000
cirque-le-noir-clowns,Cirque Le Noir | Clowns,265870398
dimes,DIMES,264819006
fudonbtc,FUD,263807110
ordi_orccash,ordi (ORC-CASH),263298823
ghostminer,GhostMiner,262771761
mempoolio,Mempoolio,262096801
diamonds,Ordinal Diamonds,260560000
rgb_bitcoin,RGB Bitcoin,260260338
nodescapes,Nodescapes,257274990
btc_x_puppets,xPuppets,256549445
aoa,Alien Ordinal Artifacts: First Edition,254812100
satgods,$atgods,251397000
kards,N0 0RDINARY KARDS,250062724
skullx-infinite,Skullx: Infinite,249713899
bitcoin-mfers,Bitcoin mfers,248935146
magicalflowers,Magical Flowers by YOUNG & SICK,247893720
ordiblocks,OrdiBlocks,245895480
tgob_boosters,Tgob Boosters,244702726
stamp,Ordinal badge collection,244500000
jade-ardinals,Jade98 ARdinals ,243717024
cheekz,Block 9 Cheekz,238205099
ordinal-worlds,Ordinal Worlds,236600000
ape-runners,ApeRunners BTC,233950487
lotion,Lotion,233276866
bitblobs,Bit Blobs,232080000
voka,Canvas to Code by VOKA ,231610760
runelings,Runelings,231060600
thebrobears,The Bro Bears,230470805
pokepixels,Poke Pixels,229904780
bitcoin_spacemen,Bitcoin Spacemen,229404693
mbk-castles-genesis-lands,My Bitcoin Kingdom: Genesis Lands,228552775
the-ordinal-war,The Ordinal War,228229293
archaeology,Ordinal Archaeology,227417500
kmb,KEK Maxi Biz (KMB),227207842
planetsbitcoin,Planets,227000524
ordimon,Ordimon (Genesis) by Polychain Monsters,223026000
i0_oto,G1 / D6 / I0 / A1 by OTO (Editions),221619874
bitcoin-buds,Bitcoin Buds ,221032746
bitcoinmonsters,Bitcoin Monsters,220674164
wrapped-labitbus,Wrapped Labitbus,220642449
x-bitman,X-Bitman,217947700
blockheadz,BlockHeadz,217875490
planetaryprimes,Planetary Primes [🪐],217718107
nodecats,NodeCats,217490467
bfc,Bitcoin Foxes,217280635
bitcoin-jpgs,Bitcoin JPEGs,214605000
block9masterworks,Block 9 Masterworks,214217409
ordgoose,OrdGoose,214139366
finney,Finney,212744500
bitcoin-cryptodickbutts,Bitcoin Crypto DickButts,212648046
moggers,Moggers,211159254
satoshisneks,SatoshiSneks,207648000
recursive-punks,Recursive Punks V2,206847777
checks,Checks - VV Inscriptions,206800000
satoshi-punks,Satoshi Punks,205880000
wzrds,WZRDS,205876910
2048,2048 by Harto,204984964
122-bitcoin-llamaz,122 Bitcoin LLaMAZ,204887800
ferihabtc,ferihaBTC,202564934
pepepunks,Pepe Punks,202526700
season0,Season 0 : Casey’s Collection,202207649
tfm,The Forgotten Manifesto by Nullish,200984400
deragebtc,Derage,200864000
eggt,Eggtoshis,200549900
ordinal-loops,Ordinal Loops,200000000
btc-skulls,BTC Skullz,199931700
zenniesbtc,zennies,199568883
hashlingartifacts,Hashling Artifacts,198824750
cno,CryptoNinja Ordinals,198438900
rune_gods,GODS,197939964
superverified,SUPER VERIFIED JULIO,197474040
btc-mutant-machine,BTC Mutant Machine,197157770
sats_,Satributes - Contributors,197061884
majo,Majo,195700000
xcpinata_orange,ORANGE,195428299
og-cartridge,OG Cartridge,195358900
blesstiger,Blesstiger(♆) [Reinscriptions],194998583
orditrolls,OrdiTrolls,194461601
bomb,bOMB,193854323
ufbros,UFBros,193224725
recursive-maxis,Recursive Maxis,192276715
cursed_rocks,CursedRocks,191667274
brc2punks,BRC 2.0 PUNKS,191254806
power_keys,BTC Keys,190481439
rss,Rare Satoshi Society,189150000
ordbubbles,Sticker Animals by Ordinals Bubbles,188809000
one-of-editions,1 of ?,187281365
unity,UNITY (SNAPSHOT TAKEN),186220429
ducksonchain,Ducks On-Chain (DOC),185735156
stoshi,Stoshi,185717957
surf-og-pass,Surf Protocol OG Pass,184584000
noncestratum,NonceStratum by Zeblocks,184178120
goosinals_,-Goosinals (Cursed Goosinals),183970959
natpals,DMT-NatPals,182974139
apoptosis,Apoptosis by OTO,180783790
uncommon-satoshi,UnCommon Satoshi,180400000
realm-of-arts-maxi,OTHERWORLD: Genesis,179636699
cat,C.A.T. (Cats Against TradFi),178444211
nodepepes,NodePepes,178259908
69,The Sixty Niners,177537400
bitcoin-cats,Bitcoin Cats,176914858
nakamotos-on-bitcoin,Nakamotos,175970000
giants_planet_founding_explorers,Giants Protocol: Founding Explorers,175372999
satributes_genesis,Satributes - OG,174689000
geminions-by-jrne-3,Geminions by JRNE,174642664
ordinalfatkings,Ordinal Fat Kings,173805505
gallery69,GALLERY69,173058500
btcbulls,BTC Bulls,172993985
naturalflows,NaturalFlows by Joona,172967883
idclub-pass,iDclub Pass,171995950
bitcopters,BITCOPTERS,171851941
bulls,Bulls,171271000
guardiansofordinals,Guardians of Ordinals,170675188
btc-artifacts,BTC Artifacts,170452669
pixel-panda-wars-chapter3,Pixel Panda Wars Chapter 3,170000000
dmt-coolnats,DMT CoolNATs,169806642
bitcoinonezero,BitcoinOneZero,169650720
singular,????????,168888568
loong,Rootverse Loong,168264100
fsicgm,FSIC Genesis Miner,167758032
collective-fragments,Collective Fragments,167009274
uncommon-doges,Uncommon Doges,166233440
btcwhal3s,Whal3s,166223105
100k,<100k Club Admission Pass,165745900
derps,The Derps,165624571
bsos,Bsos,164694026
bitcoin-blocks-the_dan_files,Bitcoin Blocks from The Dan Files,163300000
symmetria-evolvitur,Symmetria Evolvitur,162680000
